receipt_id,originalMetaBriteQuantityPurchased,brandCode,partnerItemId,barcode,itemPrice,preventTargetGapPoints,originalReceiptItemText,needsFetchReviewReason,itemNumber,priceAfterCoupon,pointsEarned,userFlaggedBarcode,pointsNotAwardedReason,needsFetchReview,description,discountedItemPrice,competitorRewardsGroup,userFlaggedNewItem,userFlaggedQuantity,pointsPayerId,rewardsGroup,userFlaggedDescription,metabriteCampaignId,userFlaggedPrice,targetPrice,originalMetaBriteDescription,competitiveProduct,finalPrice,quantityPurchased,originalMetaBriteBarcode,rewardsProductPartnerId,deleted
5ff1e1eb0a720f0523000575,,,1,4011,26.00,True,,,,,,4011,,False,ITEM NOT FOUND,,,True,5,,,,,26.00,,,,26.00,5,,,
5ff1e1bb0a720f052300056b,,,1,4011,1,,,,,,,,,,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5ff1e1f10a720f052300057a,,,1,,,True,,,,,,4011,,False,,,,True,3,,,,,26.00,,,,,,,,
5ff1e1ee0a7214ada100056f,,,1,4011,28.00,True,,,,,,4011,,False,ITEM NOT FOUND,,,True,4,,,,,28.00,,,,28.00,4,,,
5ff1e1d20a7214ada1000561,,,1,4011,1,,,,,,,,,,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5ff1e1e40a7214ada1000566,,,1,4011,3.25,True,,,,,,4011,Action not allowed for user and CPG,False,ITEM NOT FOUND,,,,,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,,,,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,,3.25,1,028400642255,5332f5fbe4b03c9a25efd0ba,
5ff1e1cd0a720f052300056f,,MISSION,1009,,2.23,,MSSN TORTLLA,,,,,,,,MSSN TORTLLA,2.23,TACO BELL TACO SHELLS,,,,,,,,,,,2.23,1,,,
5ff1e1a40a720f0523000569,,BRAND,0,046000832517,10.00,,,,,,,,Action not allowed for user and CPG,,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",,,,,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,,,,,,,10.00,1,,5332f5f3e4b03c9a25efd0ae,
5ff1e1ed0a7214ada100056e,,,1,4011,20.00,True,,,,,,4011,,False,ITEM NOT FOUND,,,True,5,,,,,20.00,,,,20.00,5,,,
5ff1e1eb0a7214ada100056b,,,1,4011,20.00,True,,,,,,4011,,False,ITEM NOT FOUND,,,True,3,,,,,20.00,,,,20.00,3,,,
5ff1e1c50a720f052300056c,,,1,4011,1,,,,,,,,,,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5ff1e1a10a720f0523000568,1,,1,013562300631,50.00,,,POINTS_GREATER_THAN_THRESHOLD,013562300631,,,,Action not allowed for user and CPG,True,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,,,,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,,,,,,,50.00,5,,5332f5f3e4b03c9a25efd0ae,
5ff1e1b60a7214ada100055c,,,1,034100573065,29,,,,,,870.0,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,,,,77,,,29,1,,5332f709e4b03c9a25efd0f1,
5f9c74f70a7214ad07000037,,,1,075925306254,1,,,,,,,,,,,,,,,,KRAFT NATURAL CHEESE - SHREDDED,,,,,,True,1,1,,559c2234e4b06aca36af13c6,
5ff1e1b20a7214ada100055a,,,1,4011,1,,,,,,,,,,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5ff1e1e90a7214ada1000569,,,1,,,True,,USER_FLAGGED,,,,4011,,True,,,,True,3,,,,,25.00,,,,,,,,
5ff1e1df0a7214ada1000564,,,1,4011,1,,,,,,,,,False,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5ff1e1b40a7214ada100055b,,,1,075925306254,1,,,,,,,,,,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,,,,,True,1,1,,5e7cf838f221c312e698a628,
5ff1e1eb0a720f0523000576,,,1,4011,26.00,True,,,,,,4011,,False,ITEM NOT FOUND,,,True,2,,,,,26.00,,,,26.00,2,,,
5ff1e1c80a720f052300056d,,,1,4011,1,,,,,,,,,,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5f9c74f90a7214ad07000038,,,1,075925306254,1,,,,,,,,,False,,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,,,,,,True,1,1,,5e7cf838f221c312e698a628,
5ff1e1960a720f0523000567,,,1,4011,1,,,,,,,,,,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5ff1e1ec0a7214ada100056c,,,1,4011,21.00,True,,,,,,4011,,False,ITEM NOT FOUND,,,True,2,,,,,21.00,,,,21.00,2,,,
5ff1e1d70a720f0523000571,,,1,041000168468,1,,,,,,10.0,,,,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,,,,,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,,,,800,,,1,1,,5332f5f6e4b03c9a25efd0b4,
5ff1e1c60a7214ada100055e,,,1,4011,1,,,,,,,,,,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5ff1e1ee0a7214ada1000570,,,1,4011,27.00,True,,,,,,4011,,False,ITEM NOT FOUND,,,True,5,,,,,27.00,,,,27.00,5,,,
5ff1e1cf0a720f0523000570,,,1,4011,1,,,,,,,,,,ITEM NOT FOUND,,,,,,,,,,,,,1,1,,,
5ff1e1e10a720f0523000572,,,1,079400066619,1,True,,,,,10.0,079400066619,,False,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,,,,,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,,,,800,,True,1,1,080878042197,5332f5f6e4b03c9a25efd0b4,
5ff1e1d40a7214ada1000562,,,1,,1,,,,,,,,,,DELETED ITEM,,,,,,,,,,,,,1,1,,,True
5ff1e1ee0a720f0523000578,,,1,4011,27.00,True,,,,,,4011,,False,ITEM NOT FOUND,,,True,4,,,,,27.00,,,,27.00,4,,,
5ff371030a7214ada10005a5,,,1,087684001127,1,,,,,,5.0,,,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,,,,800,,,1,1,,559c2234e4b06aca36af13c6,
5ff36dcc0a720f05230005b1,,,1,071040063102,0.99,,,,,,,,,,,,,,,,SARGENTO STRING OR STICK CHEESE,,,,,,True,0.99,1,,5e7cf838f221c312e698a628,
5ff36c750a7214ada100058f,,,1,029000079236,9.99,,,,,,50.0,,,,PLANTERSe Cashew Halves & Pieces - 46 oz.,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,,,,800,,,9.99,1,,559c2234e4b06aca36af13c6,
5ff36d860a720f05230005a7,,,1,041129002292,1,,,,,,5.0,,,,CLASSICO Traditional Basil Pesto 14OZ 12pack,,,,,559c2234e4b06aca36af13c6,CLASSICO PESTO,,,,800,,,1,1,,559c2234e4b06aca36af13c6,
5ff36d9f0a720f05230005ab,,,1,043000946060,1,,,,,,5.0,,,,K9 Crystal Chandelier with 4 Lights in Globe Shape,,,,,559c2234e4b06aca36af13c6,KOOL-AID BURSTS DRINK,,,,800,,,1,1,,559c2234e4b06aca36af13c6,
